Run	Time	Name	X_pos	Y_pos	State	Delay	OnCue
0	0.95	Bee04	42.90	40.36	0	0	False
0	0.98	Bee03	42.40	41.54	0	0	False
0	1.02	Bee07	0.47	25.53	0	0	False
0	1.79	Bee03	42.39	41.53	0	0	False
0	1.84	Bee07	0.47	25.54	0	0	False
0	1.96	Bee04	42.89	40.36	0	0	False
0	2.07	Bee03	42.31	41.41	0	0	False
0	2.90	Bee15	10.50	14.30	0	0	False
0	2.97	Bee09	11.65	14.53	0	0	False
0	3.68	Bee03	42.32	41.40	0	0	False
0	3.91	Bee15	10.50	14.30	0	0	False
0	4.36	Bee09	11.60	14.72	0	0	False
0	4.51	Bee15	10.77	14.39	0	0	False
0	4.93	Bee09	11.45	14.98	0	0	False
0	4.93	Bee11	11.62	13.44	0	0	False
0	4.93	Bee11	11.62	13.44	0	0	False
0	6.23	Bee15	10.79	14.69	0	0	False
0	6.23	Bee15	10.79	14.69	0	0	False
0	6.45	Bee11	11.19	13.41	0	0	False
0	7.71	Bee13	10.03	29.48	0	0	False
0	7.71	Bee18	9.27	28.78	0	0	False
0	7.92	Bee15	11.68	15.64	0	0	False
0	8.10	Bee12	33.61	20.84	0	54.23576	True
0	8.10	Bee12	33.61	20.84	0	54.23576	True
0	8.10	Bee17	33.13	20.73	0	55.71306	True
0	8.10	Bee17	33.13	20.73	0	55.71306	True
0	8.84	Bee13	10.13	29.29	0	0	False
0	9.07	Bee18	9.35	28.96	0	0	False
0	9.35	Bee13	10.18	29.08	0	0	False
0	9.63	Bee18	9.47	29.12	0	0	False
0	9.63	Bee18	9.47	29.12	0	0	False
0	10.25	Bee18	9.64	29.25	0	0	False
0	10.25	Bee18	9.64	29.25	0	0	False
0	13.71	Bee18	9.01	33.27	0	0	False
0	13.97	Bee00	20.52	27.27	0	59.30915	True
0	13.97	Bee09	19.89	26.77	0	59.23898	True
0	13.97	Bee09	19.89	26.77	0	59.23898	True
0	21.37	Bee13	30.23	32.23	0	56.49717	True
0	21.37	Bee05	30.19	33.34	0	53.40659	True
0	24.49	Bee03	32.04	3.66	0	0	False
0	24.62	Bee15	32.18	2.65	0	0	False
0	26.57	Bee03	32.23	3.61	0	0	False
0	29.34	Bee03	32.48	1.26	0	0	False
0	31.08	Bee03	32.69	1.22	0	0	False
0	31.27	Bee19	17.65	38.49	0	0	False
0	31.27	Bee19	17.65	38.49	0	0	False
0	31.27	Bee18	18.00	39.00	0	0	False
0	32.00	Bee19	17.70	38.67	0	0	False
0	32.00	Bee19	17.70	38.67	0	0	False
0	32.00	Bee19	17.70	38.67	0	0	False
0	33.26	Bee03	32.63	1.02	0	0	False
0	33.26	Bee03	32.63	1.02	0	0	False
0	36.14	Bee03	32.67	0.54	0	0	False
0	36.14	Bee03	32.67	0.54	0	0	False
0	37.15	Bee14	1.34	22.25	0	0	False
0	39.32	Bee14	1.16	22.11	0	0	False
0	44.07	Bee15	33.25	0.76	0	0	False
0	45.62	Bee14	0.73	21.92	0	0	False
0	46.11	Bee10	22.42	42.13	0	0	False
0	46.37	Bee18	5.88	14.56	0	0	False
0	46.37	Bee08	23.24	43.01	0	0	False
0	46.63	Bee14	0.75	21.40	0	0	False
0	46.63	Bee14	0.75	21.40	0	0	False
0	46.63	Bee14	0.75	21.40	0	0	False
0	53.67	Bee10	19.55	31.58	0	57.34619	True
0	55.02	Bee18	0.89	16.60	0	0	False
0	55.50	Bee18	1.04	16.50	0	0	False
0	56.98	Bee18	1.02	16.32	0	0	False
0	58.29	Bee07	29.14	32.80	0	56.69622	True
0	58.29	Bee07	29.14	32.80	0	56.69622	True
0	62.63	Bee19	18.84	26.25	0	58.97611	True
0	63.98	Bee18	0.42	16.30	0	0	False
0	64.11	Bee01	0.42	15.49	0	0	False
0	64.53	Bee12	33.40	20.41	0	54.23576	True
0	64.53	Bee12	33.40	20.41	0	54.23576	True
0	64.72	Bee02	31.24	2.64	0	0	False
0	64.91	Bee03	31.71	2.20	0	0	False
0	64.91	Bee03	31.71	2.20	0	0	False
0	65.39	Bee18	0.60	16.16	0	0	False
0	65.39	Bee18	0.60	16.16	0	0	False
0	66.28	Bee03	31.79	2.38	0	0	False
0	66.28	Bee02	31.29	2.44	0	0	False
0	66.28	Bee02	31.29	2.44	0	0	False
0	66.28	Bee02	31.29	2.44	0	0	False
0	67.75	Bee06	7.31	21.12	0	0	False
0	68.53	Bee02	31.08	2.41	0	0	False
0	68.66	Bee03	31.02	2.84	0	0	False
0	69.83	Bee02	30.58	2.75	0	0	False
0	70.70	Bee03	30.93	2.67	0	0	False
0	73.61	Bee14	24.99	8.35	0	0	False
0	73.61	Bee02	25.77	7.58	0	0	False
0	73.90	Bee17	20.11	30.49	0	58.47778	True
0	75.14	Bee02	25.53	7.50	0	0	False
0	75.31	Bee00	20.62	26.95	0	59.34927	True
0	75.31	Bee09	20.15	26.56	0	59.30915	True
0	75.81	Bee03	25.88	6.16	0	0	False
0	76.80	Bee05	30.05	33.19	0	54.01496	True
0	76.80	Bee05	30.05	33.19	0	54.01496	True
0	76.80	Bee05	30.05	33.19	0	54.01496	True
0	79.01	Bee15	27.33	48.48	0	0	False
0	79.75	Bee16	22.73	2.67	0	0	False
0	79.75	Bee03	23.71	2.85	0	0	False
0	80.07	Bee06	22.67	37.33	0	0	False
0	80.07	Bee06	22.67	37.33	0	0	False
0	80.07	Bee15	27.11	48.55	0	0	False
0	80.07	Bee11	23.28	37.15	0	0	False
0	81.12	Bee03	23.47	2.83	0	0	False
0	81.41	Bee16	22.98	2.73	0	0	False
0	81.41	Bee16	22.98	2.73	0	0	False
0	81.41	Bee16	22.98	2.73	0	0	False
0	82.27	Bee06	22.86	37.15	0	0	False
0	82.27	Bee06	22.86	37.15	0	0	False
0	82.27	Bee06	22.86	37.15	0	0	False
0	82.82	Bee03	23.36	3.07	0	0	False
0	85.16	Bee01	23.02	1.79	0	0	False
0	86.72	Bee02	17.92	25.42	0	58.6445	True
0	97.33	Bee01	32.35	19.77	0	56.27999	True
0	111.72	Bee04	21.36	29.95	0	59.04763	True
0	112.64	Bee16	5.92	46.68	0	0	False
0	112.64	Bee14	5.80	47.81	0	0	False
0	113.06	Bee10	19.75	31.54	0	57.63183	True
0	114.38	Bee16	5.69	46.67	0	0	False
0	120.46	Bee11	31.82	18.55	0	55.26216	True
0	120.79	Bee12	33.22	20.51	0	55.18034	True
0	123.20	Bee07	31.68	20.49	0	57.74436	True
0	123.61	Bee19	18.98	26.42	0	59.0324	True
0	136.55	Bee09	20.27	26.72	0	59.32292	True
0	136.55	Bee09	20.27	26.72	0	59.32292	True
0	136.55	Bee09	20.27	26.72	0	59.32292	True
0	136.55	Bee09	20.27	26.72	0	59.32292	True
0	136.77	Bee14	30.84	21.07	0	58.60546	True
0	136.77	Bee17	17.17	26.43	0	58.0816	True
0	136.98	Bee08	21.05	25.85	0	59.47937	True
0	147.36	Bee02	18.11	25.48	0	58.74098	True
0	154.01	Bee03	22.28	30.79	0	58.93286	True
0	155.56	Bee01	32.18	19.84	0	56.49717	True
0	155.56	Bee01	32.18	19.84	0	56.49717	True
0	173.68	Bee15	13.75	44.94	0	0	False
0	173.68	Bee13	12.76	44.97	0	0	False
0	173.85	Bee04	20.50	27.76	0	59.26007	True
0	174.69	Bee10	18.78	27.64	0	58.82758	True
0	175.03	Bee13	12.94	45.09	0	0	False
0	176.08	Bee13	12.98	45.24	0	0	False
0	177.70	Bee11	31.65	18.65	0	55.49583	True
0	177.96	Bee12	33.12	20.30	0	55.09644	True
0	181.56	Bee16	18.35	24.32	0	58.86758	True
0	182.86	Bee07	31.49	20.45	0	57.92308	True
0	182.86	Bee07	31.49	20.45	0	57.92308	True
0	184.65	Bee19	19.14	26.27	0	59.06982	True
0	195.05	Bee06	15.97	26.87	0	56.16393	True
0	196.88	Bee17	17.32	26.34	0	58.18407	True
0	197.86	Bee09	20.41	26.61	0	59.34499	True
0	208.12	Bee15	17.82	28.62	0	57.94689	True
0	208.12	Bee02	18.17	25.26	0	58.79617	True
0	214.02	Bee01	32.27	20.02	0	56.54855	True
0	214.02	Bee01	32.27	20.02	0	56.54855	True
0	222.37	Bee05	30.43	20.94	0	58.71784	True
0	235.15	Bee12	32.91	20.41	0	55.78207	True
0	235.15	Bee12	32.91	20.41	0	55.78207	True
0	235.15	Bee04	20.72	27.68	0	59.30446	True
0	235.40	Bee11	31.92	19.07	0	56.04248	True
0	235.55	Bee10	19.07	27.58	0	58.93286	True
0	239.17	Bee14	29.05	20.82	0	59.07705	True
0	242.42	Bee16	18.56	24.43	0	58.94172	True
0	242.88	Bee07	31.46	20.65	0	57.9703	True
0	245.65	Bee19	19.27	26.40	0	59.1187	True
0	245.65	Bee19	19.27	26.40	0	59.1187	True
0	253.23	Bee06	16.11	26.64	0	56.49717	True
0	257.49	Bee17	17.82	27.26	0	58.36606	True
0	258.43	Bee13	8.26	16.27	0	0	False
0	258.43	Bee18	7.26	16.47	0	0	False
0	259.29	Bee09	20.55	26.79	0	59.34927	True
0	259.29	Bee09	20.55	26.79	0	59.34927	True
0	259.59	Bee18	7.35	16.25	0	0	False
0	260.06	Bee18	7.47	16.08	0	0	False
0	268.29	Bee15	18.46	28.67	0	58.41538	True
0	268.94	Bee02	18.36	25.33	0	58.87727	True
0	272.63	Bee01	32.11	20.09	0	56.96495	True
0	272.63	Bee01	32.11	20.09	0	56.96495	True
0	272.63	Bee01	32.11	20.09	0	56.96495	True
0	283.32	Bee05	30.10	21.26	0	58.92388	True
0	286.97	Bee08	17.19	29.05	0	56.96495	True
0	292.72	Bee12	32.81	20.27	0	55.91531	True
0	293.45	Bee11	31.71	19.20	0	56.54855	True
0	296.41	Bee04	20.66	27.51	0	59.32292	True
0	296.41	Bee04	20.66	27.51	0	59.32292	True
0	296.58	Bee10	18.98	27.24	0	58.95913	True
0	296.58	Bee10	18.98	27.24	0	58.95913	True
0	302.88	Bee07	31.27	20.61	0	58.12359	True
0	306.49	Bee13	38.30	42.73	0	0	False
0	306.49	Bee18	37.34	42.65	0	0	False
0	306.80	Bee19	19.40	26.25	0	59.1576	True
0	307.47	Bee13	38.23	42.90	0	0	False
0	308.04	Bee18	37.34	42.84	0	0	False
0	308.61	Bee13	38.06	42.97	0	0	False
0	311.98	Bee06	16.78	27.10	0	57.4791	True
0	317.84	Bee17	18.00	27.15	0	58.50761	True
0	321.51	Bee13	30.70	22.47	0	58.95048	True
0	327.09	Bee09	30.64	18.49	0	57.08738	True
0	328.87	Bee15	18.47	28.23	0	58.56473	True
0	328.87	Bee15	18.47	28.23	0	58.56473	True
0	331.57	Bee01	32.19	20.26	0	57.00658	True
0	331.57	Bee01	32.19	20.26	0	57.00658	True
0	331.57	Bee01	32.19	20.26	0	57.00658	True
0	350.63	Bee12	32.67	20.39	0	56.27999	True
0	350.63	Bee12	32.67	20.39	0	56.27999	True
0	350.63	Bee12	32.67	20.39	0	56.27999	True
0	351.95	Bee11	31.84	19.40	0	56.64804	True
0	356.17	Bee00	31.27	42.59	0	0	False
0	357.56	Bee10	19.15	27.20	0	59.0168	True
0	357.56	Bee10	19.15	27.20	0	59.0168	True
0	363.21	Bee07	31.15	21.31	0	58.52221	True
0	367.95	Bee19	19.54	26.37	0	59.17609	True
0	371.46	Bee06	16.91	26.90	0	57.66073	True
0	372.28	Bee02	38.46	28.05	0	0	False
0	372.45	Bee18	37.70	27.94	0	0	False
0	372.97	Bee02	38.26	28.15	0	0	False
0	372.97	Bee02	38.26	28.15	0	0	False
0	378.42	Bee17	18.11	27.38	0	58.53659	True
0	378.42	Bee17	18.11	27.38	0	58.53659	True
0	386.31	Bee09	30.95	18.89	0	57.12658	True
