Run	Time	Name	X_pos	Y_pos	Collision	OnCue
0	0.00	Bee03	32.51	31.54	0	True
0	0.00	Bee05	23.48	26.53	0	True
0	0.00	Bee07	25.49	15.46	0	True
0	0.00	Bee13	32.54	28.51	0	True
0	0.00	Bee17	27.48	35.53	0	True
0	0.00	Bee27	32.53	30.48	0	True
0	0.35	Bee25	31.37	34.76	0	True
0	0.40	Bee13	33.32	28.69	1	True
0	0.40	Bee27	33.19	30.02	1	True
0	0.81	Bee17	26.55	36.85	0	False
0	1.08	Bee03	33.25	33.56	0	False
0	1.25	Bee07	24.84	13.05	0	False
0	1.65	Bee14	32.73	35.63	1	False
0	1.71	Bee03	33.68	34.75	1	False
0	2.86	Bee14	32.73	35.63	2	False
0	3.32	Bee03	33.68	34.75	2	False
0	4.27	Bee14	32.74	35.63	3	False
0	4.35	Bee03	33.63	34.74	3	False
0	4.96	Bee05	17.94	34.75	0	False
0	5.17	Bee08	44.78	18.15	1	False
0	5.52	Bee19	25.60	13.05	0	True
0	5.88	Bee14	32.74	35.62	4	False
0	5.93	Bee10	12.95	25.31	0	True
0	6.17	Bee03	33.63	34.74	4	False
