Run	Time	Name	X_pos	Y_pos

0	0.00	Bee00	1.50	7.50
0	0.00	Bee01	9.50	3.50
0	0.00	Bee02	33.50	27.50
0	0.00	Bee03	13.50	15.50
0	0.00	Bee04	11.50	46.50
0	0.00	Bee05	20.50	18.50
0	0.00	Bee06	46.50	15.50
0	0.00	Bee07	14.50	1.50
0	0.00	Bee08	39.50	3.50
0	0.00	Bee09	48.50	19.50
0	0.00	Bee10	24.50	20.50
0	0.00	Bee11	24.50	49.50
0	0.00	Bee12	10.50	46.50
0	0.00	Bee13	48.50	40.50
0	0.00	Bee14	40.50	9.50
0	0.00	Bee15	17.50	29.50
0	0.00	Bee16	36.50	43.50
0	0.00	Bee17	3.50	17.50
0	0.00	Bee18	43.50	25.50
0	0.00	Bee19	34.50	19.50
0	0.00	Bee20	33.50	42.50
0	0.00	Bee21	41.50	30.50
0	0.00	Bee22	41.50	22.50
0	0.00	Bee23	22.50	3.50
0	0.00	Bee24	29.50	25.50
0	0.00	Bee25	27.50	23.50
0	0.00	Bee26	37.50	13.50
0	0.00	Bee27	17.50	21.50
0	0.00	Bee28	35.50	29.50
0	0.00	Bee29	31.50	27.50
0	1.00	Bee00	2.10	7.51
0	1.00	Bee01	8.90	3.57
0	1.00	Bee02	33.04	27.89
0	1.00	Bee03	13.14	15.98
0	1.00	Bee04	11.27	47.05
0	1.00	Bee05	20.66	19.08
0	1.00	Bee06	46.61	14.91
0	1.00	Bee07	13.95	1.27
0	1.00	Bee08	38.97	3.78
0	1.00	Bee09	49.10	19.49
0	1.00	Bee10	24.40	19.91
0	1.00	Bee11	24.03	49.13
0	1.00	Bee12	9.92	46.35
0	1.00	Bee13	48.04	40.89
0	1.00	Bee14	40.15	9.01
0	1.00	Bee15	17.21	30.02
0	1.00	Bee16	36.42	44.09
0	1.00	Bee17	3.69	18.07
0	1.00	Bee18	42.94	25.29
0	1.00	Bee19	35.09	19.39
0	1.00	Bee20	33.85	42.99
0	1.00	Bee21	42.10	30.43
0	1.00	Bee22	41.17	23.00
0	1.00	Bee23	22.81	4.01
0	1.00	Bee24	29.05	25.89
0	1.00	Bee25	27.67	22.92
0	1.00	Bee26	37.90	13.95
0	1.00	Bee27	17.10	21.95
0	1.00	Bee28	35.14	29.02
0	1.00	Bee29	30.93	27.31
0	2.00	Bee00	2.10	7.51
0	2.00	Bee01	8.90	3.57
0	2.00	Bee02	33.04	27.89
0	2.00	Bee03	13.14	15.98
0	2.00	Bee04	11.27	47.05
0	2.00	Bee05	20.66	19.08
0	2.00	Bee06	46.61	14.91
0	2.00	Bee07	13.95	1.27
0	2.00	Bee08	38.97	3.78
0	2.00	Bee09	49.10	19.49
0	2.00	Bee10	24.40	19.91
0	2.00	Bee11	24.03	49.13
0	2.00	Bee12	9.92	46.35
0	2.00	Bee13	48.04	40.89
0	2.00	Bee14	40.15	9.01
0	2.00	Bee15	17.21	30.02
0	2.00	Bee16	36.42	44.09
0	2.00	Bee17	3.69	18.07
0	2.00	Bee18	42.94	25.29
0	2.00	Bee19	35.09	19.39
0	2.00	Bee20	33.85	42.99
0	2.00	Bee21	42.10	30.43
0	2.00	Bee22	41.17	23.00
0	2.00	Bee23	22.81	4.01
0	2.00	Bee24	29.05	25.89
0	2.00	Bee25	27.67	22.92
0	2.00	Bee26	37.90	13.95
0	2.00	Bee27	17.10	21.95
0	2.00	Bee28	35.14	29.02
0	2.00	Bee29	30.93	27.31
0	3.00	Bee00	2.10	7.51
0	3.00	Bee01	8.90	3.57
0	3.00	Bee02	33.04	27.89
0	3.00	Bee03	13.14	15.98
0	3.00	Bee04	11.27	47.05
0	3.00	Bee05	20.66	19.08
0	3.00	Bee06	46.61	14.91
0	3.00	Bee07	13.95	1.27
0	3.00	Bee08	38.97	3.78
0	3.00	Bee09	49.10	19.49
0	3.00	Bee10	24.40	19.91
0	3.00	Bee11	24.03	49.13
0	3.00	Bee12	9.92	46.35
0	3.00	Bee13	48.04	40.89
0	3.00	Bee14	40.15	9.01
0	3.00	Bee15	17.21	30.02
0	3.00	Bee16	36.42	44.09
0	3.00	Bee17	3.69	18.07
0	3.00	Bee18	42.94	25.29
0	3.00	Bee19	35.09	19.39
0	3.00	Bee20	33.85	42.99
0	3.00	Bee21	42.10	30.43
0	3.00	Bee22	41.17	23.00
0	3.00	Bee23	22.81	4.01
0	3.00	Bee24	29.05	25.89
0	3.00	Bee25	27.67	22.92
0	3.00	Bee26	37.90	13.95
0	3.00	Bee27	17.10	21.95
0	3.00	Bee28	35.14	29.02
0	3.00	Bee29	30.93	27.31
0	4.00	Bee00	2.10	7.51
0	4.00	Bee01	8.90	3.57
0	4.00	Bee02	33.04	27.89
0	4.00	Bee03	13.14	15.98
0	4.00	Bee04	11.27	47.05
0	4.00	Bee05	20.66	19.08
0	4.00	Bee06	46.61	14.91
0	4.00	Bee07	13.95	1.27
0	4.00	Bee08	38.97	3.78
0	4.00	Bee09	49.10	19.49
0	4.00	Bee10	24.40	19.91
0	4.00	Bee11	24.03	49.13
0	4.00	Bee12	9.92	46.35
0	4.00	Bee13	48.04	40.89
0	4.00	Bee14	40.15	9.01
0	4.00	Bee15	17.21	30.02
0	4.00	Bee16	36.42	44.09
0	4.00	Bee17	3.69	18.07
0	4.00	Bee18	42.94	25.29
0	4.00	Bee19	35.09	19.39
0	4.00	Bee20	33.85	42.99
0	4.00	Bee21	42.10	30.43
0	4.00	Bee22	41.17	23.00
0	4.00	Bee23	22.81	4.01
0	4.00	Bee24	29.05	25.89
0	4.00	Bee25	27.67	22.92
0	4.00	Bee26	37.90	13.95
0	4.00	Bee27	17.10	21.95
0	4.00	Bee28	35.14	29.02
0	4.00	Bee29	30.93	27.31
0	5.00	Bee00	2.10	7.51
0	5.00	Bee01	8.90	3.57
0	5.00	Bee02	33.04	27.89
0	5.00	Bee03	13.14	15.98
0	5.00	Bee04	11.27	47.05
0	5.00	Bee05	20.66	19.08
0	5.00	Bee06	46.61	14.91
0	5.00	Bee07	13.95	1.27
0	5.00	Bee08	38.97	3.78
0	5.00	Bee09	49.10	19.49
0	5.00	Bee10	24.40	19.91
0	5.00	Bee11	24.03	49.13
0	5.00	Bee12	9.92	46.35
0	5.00	Bee13	48.04	40.89
0	5.00	Bee14	40.15	9.01
0	5.00	Bee15	17.21	30.02
0	5.00	Bee16	36.42	44.09
0	5.00	Bee17	3.69	18.07
0	5.00	Bee18	42.94	25.29
0	5.00	Bee19	35.09	19.39
0	5.00	Bee20	33.85	42.99
0	5.00	Bee21	42.10	30.43
0	5.00	Bee22	41.17	23.00
0	5.00	Bee23	22.81	4.01
0	5.00	Bee24	29.05	25.89
0	5.00	Bee25	27.67	22.92
0	5.00	Bee26	37.90	13.95
0	5.00	Bee27	17.10	21.95
0	5.00	Bee28	35.14	29.02
0	5.00	Bee29	30.93	27.31
0	6.00	Bee00	13.41	7.71
0	6.00	Bee01	8.90	3.57
0	6.00	Bee02	24.38	35.15
0	6.00	Bee03	6.33	25.01
0	6.00	Bee04	11.27	47.05
0	6.00	Bee05	23.58	30.00
0	6.00	Bee06	48.77	3.81
0	6.00	Bee07	13.95	1.27
0	6.00	Bee08	28.99	9.09
0	6.00	Bee09	48.63	18.27
0	6.00	Bee10	22.43	8.77
0	6.00	Bee11	15.12	42.17
0	6.00	Bee12	9.92	46.35
0	6.00	Bee13	39.38	48.15
0	6.00	Bee14	34.27	0.92
0	6.00	Bee15	11.73	39.92
0	6.00	Bee16	36.42	44.09
0	6.00	Bee17	7.18	28.83
0	6.00	Bee18	32.31	21.43
0	6.00	Bee19	46.19	17.23
0	6.00	Bee20	33.85	42.99
0	6.00	Bee21	42.10	30.43
0	6.00	Bee22	35.01	32.49
0	6.00	Bee23	28.63	13.71
0	6.00	Bee24	20.51	33.31
0	6.00	Bee25	30.78	12.05
0	6.00	Bee26	45.47	22.35
0	6.00	Bee27	9.53	30.35
0	6.00	Bee28	28.33	19.99
0	6.00	Bee29	20.17	23.82
0	7.00	Bee00	15.42	7.74
0	7.00	Bee01	7.35	4.86
0	7.00	Bee02	22.83	36.45
0	7.00	Bee03	5.12	26.62
0	7.00	Bee04	11.82	47.79
0	7.00	Bee05	24.10	31.95
0	7.00	Bee06	49.02	2.54
0	7.00	Bee07	11.96	1.61
0	7.00	Bee08	27.21	10.04
0	7.00	Bee09	48.24	17.25
0	7.00	Bee10	22.08	6.79
0	7.00	Bee11	13.53	40.93
0	7.00	Bee12	8.01	47.00
0	7.00	Bee13	38.26	49.09
0	7.00	Bee14	34.30	0.79
0	7.00	Bee15	10.75	41.68
0	7.00	Bee16	37.26	45.93
